"","연도","직종","회차","일련번호","과목명","과목별점수"
"54",2015,"의사(필기)",79,"50355","의학각론5",60
"55",2015,"의사(필기)",79,"50355","의학총론1",56
"56",2015,"의사(필기)",79,"50355","의학총론2(R형)",10
"57",2015,"의사(필기)",79,"50356","보건의약관계 법규",18
"58",2015,"의사(필기)",79,"50356","의학각론1(R형)",37
"59",2015,"의사(필기)",79,"50356","의학각론2",39
"60",2015,"의사(필기)",79,"50356","의학각론3",62
"61",2015,"의사(필기)",79,"50356","의학각론4",56
"62",2015,"의사(필기)",79,"50356","의학각론5",60
"63",2015,"의사(필기)",79,"50356","의학총론1",51
"64",2015,"의사(필기)",79,"50356","의학총론2(R형)",10
"65",2015,"의사(필기)",79,"50357","보건의약관계 법규",15
"66",2015,"의사(필기)",79,"50357","의학각론1(R형)",27
"67",2015,"의사(필기)",79,"50357","의학각론2",30
"68",2015,"의사(필기)",79,"50357","의학각론3",39
"69",2015,"의사(필기)",79,"50357","의학각론4",36
"70",2015,"의사(필기)",79,"50357","의학각론5",45
"71",2015,"의사(필기)",79,"50357","의학총론1",37
"72",2015,"의사(필기)",79,"50357","의학총론2(R형)",8
"73",2015,"의사(필기)",79,"50358","보건의약관계 법규",14
"74",2015,"의사(필기)",79,"50358","의학각론1(R형)",23
"75",2015,"의사(필기)",79,"50358","의학각론2",33
"76",2015,"의사(필기)",79,"50358","의학각론3",49
"77",2015,"의사(필기)",79,"50358","의학각론4",42
"78",2015,"의사(필기)",79,"50358","의학각론5",46
"79",2015,"의사(필기)",79,"50358","의학총론1",39
"80",2015,"의사(필기)",79,"50358","의학총론2(R형)",10
"81",2015,"의사(필기)",79,"50359","보건의약관계 법규",17
"82",2015,"의사(필기)",79,"50359","의학각론1(R형)",33
"83",2015,"의사(필기)",79,"50359","의학각론2",34
"84",2015,"의사(필기)",79,"50359","의학각론3",43
"85",2015,"의사(필기)",79,"50359","의학각론4",48
"86",2015,"의사(필기)",79,"50359","의학각론5",48
"87",2015,"의사(필기)",79,"50359","의학총론1",53
"88",2015,"의사(필기)",79,"50359","의학총론2(R형)",12
"89",2015,"의사(필기)",79,"50360","보건의약관계 법규",16
"90",2015,"의사(필기)",79,"50360","의학각론1(R형)",32
"91",2015,"의사(필기)",79,"50360","의학각론2",37
"92",2015,"의사(필기)",79,"50360","의학각론3",48
"93",2015,"의사(필기)",79,"50360","의학각론4",54
"94",2015,"의사(필기)",79,"50360","의학각론5",55
"95",2015,"의사(필기)",79,"50360","의학총론1",50
"96",2015,"의사(필기)",79,"50360","의학총론2(R형)",11
"97",2015,"의사(필기)",79,"50361","보건의약관계 법규",15
"98",2015,"의사(필기)",79,"50361","의학각론1(R형)",24
"99",2015,"의사(필기)",79,"50361","의학각론2",24
"100",2015,"의사(필기)",79,"50361","의학각론3",43
"101",2015,"의사(필기)",79,"50361","의학각론4",37
"102",2015,"의사(필기)",79,"50361","의학각론5",45
"103",2015,"의사(필기)",79,"50361","의학총론1",42
"104",2015,"의사(필기)",79,"50361","의학총론2(R형)",8
"105",2015,"의사(필기)",79,"50362","보건의약관계 법규",14
"106",2015,"의사(필기)",79,"50362","의학각론1(R형)",26
"107",2015,"의사(필기)",79,"50362","의학각론2",27
"108",2015,"의사(필기)",79,"50362","의학각론3",50
"109",2015,"의사(필기)",79,"50362","의학각론4",53
"110",2015,"의사(필기)",79,"50362","의학각론5",49
"111",2015,"의사(필기)",79,"50362","의학총론1",51
"112",2015,"의사(필기)",79,"50362","의학총론2(R형)",11
"113",2015,"의사(필기)",79,"50363","보건의약관계 법규",16
"114",2015,"의사(필기)",79,"50363","의학각론1(R형)",35
"115",2015,"의사(필기)",79,"50363","의학각론2",37
"116",2015,"의사(필기)",79,"50363","의학각론3",59
"117",2015,"의사(필기)",79,"50363","의학각론4",62
"118",2015,"의사(필기)",79,"50363","의학각론5",61
"119",2015,"의사(필기)",79,"50363","의학총론1",51
"120",2015,"의사(필기)",79,"50363","의학총론2(R형)",11
"121",2015,"의사(필기)",79,"50364","보건의약관계 법규",16
"122",2015,"의사(필기)",79,"50364","의학각론1(R형)",38
"123",2015,"의사(필기)",79,"50364","의학각론2",39
"124",2015,"의사(필기)",79,"50364","의학각론3",59
"125",2015,"의사(필기)",79,"50364","의학각론4",60
"126",2015,"의사(필기)",79,"50364","의학각론5",61
"127",2015,"의사(필기)",79,"50364","의학총론1",55
"128",2015,"의사(필기)",79,"50364","의학총론2(R형)",10
"129",2015,"의사(필기)",79,"50365","보건의약관계 법규",8
"130",2015,"의사(필기)",79,"50365","의학각론1(R형)",10
"131",2015,"의사(필기)",79,"50365","의학각론2",23
"132",2015,"의사(필기)",79,"50365","의학각론3",30
"133",2015,"의사(필기)",79,"50365","의학각론4",28
"134",2015,"의사(필기)",79,"50365","의학각론5",28
"135",2015,"의사(필기)",79,"50365","의학총론1",17
"136",2015,"의사(필기)",79,"50365","의학총론2(R형)",7
"137",2015,"의사(필기)",79,"50366","보건의약관계 법규",16
"138",2015,"의사(필기)",79,"50366","의학각론1(R형)",28
"139",2015,"의사(필기)",79,"50366","의학각론2",35
"140",2015,"의사(필기)",79,"50366","의학각론3",57
"141",2015,"의사(필기)",79,"50366","의학각론4",52
"142",2015,"의사(필기)",79,"50366","의학각론5",59
"143",2015,"의사(필기)",79,"50366","의학총론1",48
"144",2015,"의사(필기)",79,"50366","의학총론2(R형)",10
"145",2015,"의사(필기)",79,"50367","보건의약관계 법규",16
"146",2015,"의사(필기)",79,"50367","의학각론1(R형)",27
"147",2015,"의사(필기)",79,"50367","의학각론2",34
"148",2015,"의사(필기)",79,"50367","의학각론3",54
"149",2015,"의사(필기)",79,"50367","의학각론4",49
"150",2015,"의사(필기)",79,"50367","의학각론5",51
"151",2015,"의사(필기)",79,"50367","의학총론1",48
"152",2015,"의사(필기)",79,"50367","의학총론2(R형)",9
"153",2015,"의사(필기)",79,"50368","보건의약관계 법규",13
"154",2015,"의사(필기)",79,"50368","의학각론1(R형)",32
"155",2015,"의사(필기)",79,"50368","의학각론2",35
"156",2015,"의사(필기)",79,"50368","의학각론3",47
"157",2015,"의사(필기)",79,"50368","의학각론4",50
"158",2015,"의사(필기)",79,"50368","의학각론5",48
"159",2015,"의사(필기)",79,"50368","의학총론1",52
"160",2015,"의사(필기)",79,"50368","의학총론2(R형)",12
"161",2015,"의사(필기)",79,"50369","보건의약관계 법규",12
"162",2015,"의사(필기)",79,"50369","의학각론1(R형)",27
"163",2015,"의사(필기)",79,"50369","의학각론2",36
"164",2015,"의사(필기)",79,"50369","의학각론3",44
"165",2015,"의사(필기)",79,"50369","의학각론4",45
"166",2015,"의사(필기)",79,"50369","의학각론5",51
"167",2015,"의사(필기)",79,"50369","의학총론1",43
"168",2015,"의사(필기)",79,"50369","의학총론2(R형)",10
"169",2015,"의사(필기)",79,"50370","보건의약관계 법규",13
"170",2015,"의사(필기)",79,"50370","의학각론1(R형)",28
"171",2015,"의사(필기)",79,"50370","의학각론2",29
"172",2015,"의사(필기)",79,"50370","의학각론3",47
"173",2015,"의사(필기)",79,"50370","의학각론4",50
"174",2015,"의사(필기)",79,"50370","의학각론5",48
"175",2015,"의사(필기)",79,"50370","의학총론1",43
"176",2015,"의사(필기)",79,"50370","의학총론2(R형)",11
"177",2015,"의사(필기)",79,"50371","보건의약관계 법규",16
"178",2015,"의사(필기)",79,"50371","의학각론1(R형)",34
"179",2015,"의사(필기)",79,"50371","의학각론2",38
"180",2015,"의사(필기)",79,"50371","의학각론3",62
"181",2015,"의사(필기)",79,"50371","의학각론4",61
"182",2015,"의사(필기)",79,"50371","의학각론5",58
"183",2015,"의사(필기)",79,"50371","의학총론1",55
"184",2015,"의사(필기)",79,"50371","의학총론2(R형)",11
"185",2015,"의사(필기)",79,"50372","보건의약관계 법규",13
"186",2015,"의사(필기)",79,"50372","의학각론1(R형)",31
"187",2015,"의사(필기)",79,"50372","의학각론2",33
"188",2015,"의사(필기)",79,"50372","의학각론3",55
"189",2015,"의사(필기)",79,"50372","의학각론4",49
"190",2015,"의사(필기)",79,"50372","의학각론5",55
"191",2015,"의사(필기)",79,"50372","의학총론1",48
"192",2015,"의사(필기)",79,"50372","의학총론2(R형)",12
"193",2015,"의사(필기)",79,"50373","보건의약관계 법규",14
"194",2015,"의사(필기)",79,"50373","의학각론1(R형)",19
"195",2015,"의사(필기)",79,"50373","의학각론2",33
"196",2015,"의사(필기)",79,"50373","의학각론3",46
"197",2015,"의사(필기)",79,"50373","의학각론4",51
"198",2015,"의사(필기)",79,"50373","의학각론5",44
"199",2015,"의사(필기)",79,"50373","의학총론1",42
"200",2015,"의사(필기)",79,"50373","의학총론2(R형)",5
"201",2015,"의사(필기)",79,"50374","보건의약관계 법규",18
"202",2015,"의사(필기)",79,"50374","의학각론1(R형)",34
"203",2015,"의사(필기)",79,"50374","의학각론2",36
"204",2015,"의사(필기)",79,"50374","의학각론3",59
"205",2015,"의사(필기)",79,"50374","의학각론4",53
"206",2015,"의사(필기)",79,"50374","의학각론5",58
"207",2015,"의사(필기)",79,"50374","의학총론1",52
"208",2015,"의사(필기)",79,"50374","의학총론2(R형)",11
"209",2015,"의사(필기)",79,"50375","보건의약관계 법규",17
"210",2015,"의사(필기)",79,"50375","의학각론1(R형)",38
"211",2015,"의사(필기)",79,"50375","의학각론2",39
"212",2015,"의사(필기)",79,"50375","의학각론3",57
"213",2015,"의사(필기)",79,"50375","의학각론4",54
"214",2015,"의사(필기)",79,"50375","의학각론5",58
"215",2015,"의사(필기)",79,"50375","의학총론1",49
"216",2015,"의사(필기)",79,"50375","의학총론2(R형)",11
"217",2015,"의사(필기)",79,"50376","보건의약관계 법규",17
"218",2015,"의사(필기)",79,"50376","의학각론1(R형)",36
"219",2015,"의사(필기)",79,"50376","의학각론2",40
"220",2015,"의사(필기)",79,"50376","의학각론3",64
"221",2015,"의사(필기)",79,"50376","의학각론4",56
"222",2015,"의사(필기)",79,"50376","의학각론5",65
"223",2015,"의사(필기)",79,"50376","의학총론1",52
"224",2015,"의사(필기)",79,"50376","의학총론2(R형)",11
"225",2015,"의사(필기)",79,"50377","보건의약관계 법규",12
"226",2015,"의사(필기)",79,"50377","의학각론1(R형)",16
"227",2015,"의사(필기)",79,"50377","의학각론2",27
"228",2015,"의사(필기)",79,"50377","의학각론3",38
"229",2015,"의사(필기)",79,"50377","의학각론4",38
"230",2015,"의사(필기)",79,"50377","의학각론5",41
"231",2015,"의사(필기)",79,"50377","의학총론1",27
"232",2015,"의사(필기)",79,"50377","의학총론2(R형)",8
"233",2015,"의사(필기)",79,"50378","보건의약관계 법규",17
"234",2015,"의사(필기)",79,"50378","의학각론1(R형)",37
"235",2015,"의사(필기)",79,"50378","의학각론2",36
"236",2015,"의사(필기)",79,"50378","의학각론3",58
"237",2015,"의사(필기)",79,"50378","의학각론4",56
"238",2015,"의사(필기)",79,"50378","의학각론5",54
"239",2015,"의사(필기)",79,"50378","의학총론1",51
"240",2015,"의사(필기)",79,"50378","의학총론2(R형)",10
"241",2015,"의사(필기)",79,"50379","보건의약관계 법규",15
"242",2015,"의사(필기)",79,"50379","의학각론1(R형)",29
"243",2015,"의사(필기)",79,"50379","의학각론2",25
"244",2015,"의사(필기)",79,"50379","의학각론3",50
"245",2015,"의사(필기)",79,"50379","의학각론4",44
"246",2015,"의사(필기)",79,"50379","의학각론5",46
"247",2015,"의사(필기)",79,"50379","의학총론1",43
"248",2015,"의사(필기)",79,"50379","의학총론2(R형)",10
"249",2015,"의사(필기)",79,"50380","보건의약관계 법규",15
"250",2015,"의사(필기)",79,"50380","의학각론1(R형)",32
"251",2015,"의사(필기)",79,"50380","의학각론2",34
"252",2015,"의사(필기)",79,"50380","의학각론3",51
"253",2015,"의사(필기)",79,"50380","의학각론4",50
"254",2015,"의사(필기)",79,"50380","의학각론5",54
"255",2015,"의사(필기)",79,"50380","의학총론1",50
"256",2015,"의사(필기)",79,"50380","의학총론2(R형)",9
"257",2015,"의사(필기)",79,"50381","보건의약관계 법규",9
"258",2015,"의사(필기)",79,"50381","의학각론1(R형)",15
"259",2015,"의사(필기)",79,"50381","의학각론2",21
"260",2015,"의사(필기)",79,"50381","의학각론3",30
"261",2015,"의사(필기)",79,"50381","의학각론4",31
"262",2015,"의사(필기)",79,"50381","의학각론5",24
"263",2015,"의사(필기)",79,"50381","의학총론1",30
"264",2015,"의사(필기)",79,"50381","의학총론2(R형)",3
"265",2015,"의사(필기)",79,"50382","보건의약관계 법규",13
"266",2015,"의사(필기)",79,"50382","의학각론1(R형)",33
"267",2015,"의사(필기)",79,"50382","의학각론2",36
"268",2015,"의사(필기)",79,"50382","의학각론3",59
"269",2015,"의사(필기)",79,"50382","의학각론4",51
"270",2015,"의사(필기)",79,"50382","의학각론5",59
"271",2015,"의사(필기)",79,"50382","의학총론1",50
"272",2015,"의사(필기)",79,"50382","의학총론2(R형)",11
"273",2015,"의사(필기)",79,"50383","보건의약관계 법규",15
"274",2015,"의사(필기)",79,"50383","의학각론1(R형)",32
"275",2015,"의사(필기)",79,"50383","의학각론2",37
"276",2015,"의사(필기)",79,"50383","의학각론3",57
"277",2015,"의사(필기)",79,"50383","의학각론4",55
"278",2015,"의사(필기)",79,"50383","의학각론5",61
"279",2015,"의사(필기)",79,"50383","의학총론1",55
"280",2015,"의사(필기)",79,"50383","의학총론2(R형)",11
"281",2015,"의사(필기)",79,"50384","보건의약관계 법규",16
"282",2015,"의사(필기)",79,"50384","의학각론1(R형)",37
"283",2015,"의사(필기)",79,"50384","의학각론2",38
"284",2015,"의사(필기)",79,"50384","의학각론3",55
"285",2015,"의사(필기)",79,"50384","의학각론4",57
"286",2015,"의사(필기)",79,"50384","의학각론5",59
"287",2015,"의사(필기)",79,"50384","의학총론1",53
"288",2015,"의사(필기)",79,"50384","의학총론2(R형)",11
"289",2015,"의사(필기)",79,"50385","보건의약관계 법규",15
"290",2015,"의사(필기)",79,"50385","의학각론1(R형)",20
"291",2015,"의사(필기)",79,"50385","의학각론2",26
"292",2015,"의사(필기)",79,"50385","의학각론3",39
"293",2015,"의사(필기)",79,"50385","의학각론4",33
"294",2015,"의사(필기)",79,"50385","의학각론5",46
"295",2015,"의사(필기)",79,"50385","의학총론1",34
"296",2015,"의사(필기)",79,"50385","의학총론2(R형)",7
"297",2015,"의사(필기)",79,"50386","보건의약관계 법규",13
"298",2015,"의사(필기)",79,"50386","의학각론1(R형)",32
"299",2015,"의사(필기)",79,"50386","의학각론2",32
"300",2015,"의사(필기)",79,"50386","의학각론3",56
"301",2015,"의사(필기)",79,"50386","의학각론4",50
"302",2015,"의사(필기)",79,"50386","의학각론5",48
"303",2015,"의사(필기)",79,"50386","의학총론1",41
"304",2015,"의사(필기)",79,"50386","의학총론2(R형)",7
"305",2015,"의사(필기)",79,"50387","보건의약관계 법규",15
"306",2015,"의사(필기)",79,"50387","의학각론1(R형)",30
"307",2015,"의사(필기)",79,"50387","의학각론2",38
"308",2015,"의사(필기)",79,"50387","의학각론3",49
"309",2015,"의사(필기)",79,"50387","의학각론4",45
"310",2015,"의사(필기)",79,"50387","의학각론5",50
"311",2015,"의사(필기)",79,"50387","의학총론1",48
"312",2015,"의사(필기)",79,"50387","의학총론2(R형)",9
"313",2015,"의사(필기)",79,"50388","보건의약관계 법규",14
"314",2015,"의사(필기)",79,"50388","의학각론1(R형)",30
"315",2015,"의사(필기)",79,"50388","의학각론2",33
"316",2015,"의사(필기)",79,"50388","의학각론3",55
"317",2015,"의사(필기)",79,"50388","의학각론4",49
"318",2015,"의사(필기)",79,"50388","의학각론5",59
"319",2015,"의사(필기)",79,"50388","의학총론1",47
"320",2015,"의사(필기)",79,"50388","의학총론2(R형)",9
"321",2015,"의사(필기)",79,"50389","보건의약관계 법규",18
"322",2015,"의사(필기)",79,"50389","의학각론1(R형)",32
"323",2015,"의사(필기)",79,"50389","의학각론2",33
"324",2015,"의사(필기)",79,"50389","의학각론3",50
"325",2015,"의사(필기)",79,"50389","의학각론4",49
"326",2015,"의사(필기)",79,"50389","의학각론5",50
"327",2015,"의사(필기)",79,"50389","의학총론1",49
"328",2015,"의사(필기)",79,"50389","의학총론2(R형)",11
"329",2015,"의사(필기)",79,"50390","보건의약관계 법규",14
"330",2015,"의사(필기)",79,"50390","의학각론1(R형)",29
"331",2015,"의사(필기)",79,"50390","의학각론2",38
"332",2015,"의사(필기)",79,"50390","의학각론3",52
"333",2015,"의사(필기)",79,"50390","의학각론4",60
"334",2015,"의사(필기)",79,"50390","의학각론5",56
"335",2015,"의사(필기)",79,"50390","의학총론1",50
"336",2015,"의사(필기)",79,"50390","의학총론2(R형)",11
"337",2015,"의사(필기)",79,"50391","보건의약관계 법규",15
"338",2015,"의사(필기)",79,"50391","의학각론1(R형)",35
"339",2015,"의사(필기)",79,"50391","의학각론2",32
"340",2015,"의사(필기)",79,"50391","의학각론3",56
"341",2015,"의사(필기)",79,"50391","의학각론4",51
"342",2015,"의사(필기)",79,"50391","의학각론5",57
"343",2015,"의사(필기)",79,"50391","의학총론1",53
"344",2015,"의사(필기)",79,"50391","의학총론2(R형)",13
"345",2015,"의사(필기)",79,"50392","보건의약관계 법규",17
"346",2015,"의사(필기)",79,"50392","의학각론1(R형)",26
"347",2015,"의사(필기)",79,"50392","의학각론2",37
"348",2015,"의사(필기)",79,"50392","의학각론3",48
"349",2015,"의사(필기)",79,"50392","의학각론4",46
"350",2015,"의사(필기)",79,"50392","의학각론5",44
"351",2015,"의사(필기)",79,"50392","의학총론1",35
"352",2015,"의사(필기)",79,"50392","의학총론2(R형)",12
"353",2015,"의사(필기)",79,"50393","보건의약관계 법규",14
"354",2015,"의사(필기)",79,"50393","의학각론1(R형)",32
"355",2015,"의사(필기)",79,"50393","의학각론2",27
"356",2015,"의사(필기)",79,"50393","의학각론3",45
"357",2015,"의사(필기)",79,"50393","의학각론4",44
"358",2015,"의사(필기)",79,"50393","의학각론5",47
"359",2015,"의사(필기)",79,"50393","의학총론1",44
"360",2015,"의사(필기)",79,"50393","의학총론2(R형)",7
"361",2015,"의사(필기)",79,"50394","보건의약관계 법규",17
"362",2015,"의사(필기)",79,"50394","의학각론1(R형)",36
"363",2015,"의사(필기)",79,"50394","의학각론2",40
"364",2015,"의사(필기)",79,"50394","의학각론3",55
"365",2015,"의사(필기)",79,"50394","의학각론4",55
"366",2015,"의사(필기)",79,"50394","의학각론5",54
"367",2015,"의사(필기)",79,"50394","의학총론1",51
"368",2015,"의사(필기)",79,"50394","의학총론2(R형)",10
"369",2015,"의사(필기)",79,"50395","보건의약관계 법규",19
"370",2015,"의사(필기)",79,"50395","의학각론1(R형)",34
"371",2015,"의사(필기)",79,"50395","의학각론2",38
"372",2015,"의사(필기)",79,"50395","의학각론3",63
"373",2015,"의사(필기)",79,"50395","의학각론4",56
"374",2015,"의사(필기)",79,"50395","의학각론5",65
"375",2015,"의사(필기)",79,"50395","의학총론1",56
"376",2015,"의사(필기)",79,"50395","의학총론2(R형)",11
"377",2015,"의사(필기)",79,"50396","보건의약관계 법규",14
"378",2015,"의사(필기)",79,"50396","의학각론1(R형)",36
"379",2015,"의사(필기)",79,"50396","의학각론2",35
"380",2015,"의사(필기)",79,"50396","의학각론3",63
"381",2015,"의사(필기)",79,"50396","의학각론4",50
"382",2015,"의사(필기)",79,"50396","의학각론5",60
"383",2015,"의사(필기)",79,"50396","의학총론1",52
"384",2015,"의사(필기)",79,"50396","의학총론2(R형)",11
"385",2015,"의사(필기)",79,"50397","보건의약관계 법규",11
"386",2015,"의사(필기)",79,"50397","의학각론1(R형)",28
"387",2015,"의사(필기)",79,"50397","의학각론2",27
"388",2015,"의사(필기)",79,"50397","의학각론3",48
"389",2015,"의사(필기)",79,"50397","의학각론4",50
"390",2015,"의사(필기)",79,"50397","의학각론5",51
"391",2015,"의사(필기)",79,"50397","의학총론1",42
"392",2015,"의사(필기)",79,"50397","의학총론2(R형)",10
"393",2015,"의사(필기)",79,"50398","보건의약관계 법규",15
"394",2015,"의사(필기)",79,"50398","의학각론1(R형)",30
"395",2015,"의사(필기)",79,"50398","의학각론2",37
"396",2015,"의사(필기)",79,"50398","의학각론3",54
"397",2015,"의사(필기)",79,"50398","의학각론4",49
"398",2015,"의사(필기)",79,"50398","의학각론5",55
"399",2015,"의사(필기)",79,"50398","의학총론1",47
"400",2015,"의사(필기)",79,"50398","의학총론2(R형)",10
"401",2015,"의사(필기)",79,"50399","보건의약관계 법규",16
"402",2015,"의사(필기)",79,"50399","의학각론1(R형)",35
"403",2015,"의사(필기)",79,"50399","의학각론2",37
"404",2015,"의사(필기)",79,"50399","의학각론3",60
"405",2015,"의사(필기)",79,"50399","의학각론4",51
"406",2015,"의사(필기)",79,"50399","의학각론5",57
"407",2015,"의사(필기)",79,"50399","의학총론1",54
"408",2015,"의사(필기)",79,"50399","의학총론2(R형)",11
"409",2015,"의사(필기)",79,"50400","보건의약관계 법규",16
"410",2015,"의사(필기)",79,"50400","의학각론1(R형)",34
"411",2015,"의사(필기)",79,"50400","의학각론2",35
"412",2015,"의사(필기)",79,"50400","의학각론3",57
"413",2015,"의사(필기)",79,"50400","의학각론4",56
"414",2015,"의사(필기)",79,"50400","의학각론5",65
"415",2015,"의사(필기)",79,"50400","의학총론1",49
"416",2015,"의사(필기)",79,"50400","의학총론2(R형)",11
"417",2015,"의사(필기)",79,"50401","보건의약관계 법규",13
"418",2015,"의사(필기)",79,"50401","의학각론1(R형)",27
"419",2015,"의사(필기)",79,"50401","의학각론2",33
"420",2015,"의사(필기)",79,"50401","의학각론3",50
"421",2015,"의사(필기)",79,"50401","의학각론4",50
"422",2015,"의사(필기)",79,"50401","의학각론5",49
"423",2015,"의사(필기)",79,"50401","의학총론1",39
"424",2015,"의사(필기)",79,"50401","의학총론2(R형)",8
"425",2015,"의사(필기)",79,"50402","보건의약관계 법규",15
"426",2015,"의사(필기)",79,"50402","의학각론1(R형)",36
"427",2015,"의사(필기)",79,"50402","의학각론2",37
"428",2015,"의사(필기)",79,"50402","의학각론3",63
"429",2015,"의사(필기)",79,"50402","의학각론4",58
"430",2015,"의사(필기)",79,"50402","의학각론5",59
"431",2015,"의사(필기)",79,"50402","의학총론1",56
"432",2015,"의사(필기)",79,"50402","의학총론2(R형)",14
"433",2015,"의사(필기)",79,"50403","보건의약관계 법규",15
"434",2015,"의사(필기)",79,"50403","의학각론1(R형)",30
"435",2015,"의사(필기)",79,"50403","의학각론2",34
"436",2015,"의사(필기)",79,"50403","의학각론3",57
"437",2015,"의사(필기)",79,"50403","의학각론4",53
"438",2015,"의사(필기)",79,"50403","의학각론5",59
"439",2015,"의사(필기)",79,"50403","의학총론1",51
"440",2015,"의사(필기)",79,"50403","의학총론2(R형)",10
"441",2015,"의사(필기)",79,"50404","보건의약관계 법규",13
"442",2015,"의사(필기)",79,"50404","의학각론1(R형)",34
"443",2015,"의사(필기)",79,"50404","의학각론2",37
"444",2015,"의사(필기)",79,"50404","의학각론3",58
"445",2015,"의사(필기)",79,"50404","의학각론4",56
"446",2015,"의사(필기)",79,"50404","의학각론5",61
"447",2015,"의사(필기)",79,"50404","의학총론1",53
"448",2015,"의사(필기)",79,"50404","의학총론2(R형)",12
"449",2015,"의사(필기)",79,"50405","보건의약관계 법규",15
"450",2015,"의사(필기)",79,"50405","의학각론1(R형)",21
"451",2015,"의사(필기)",79,"50405","의학각론2",28
"452",2015,"의사(필기)",79,"50405","의학각론3",50
"453",2015,"의사(필기)",79,"50405","의학각론4",42
"454",2015,"의사(필기)",79,"50405","의학각론5",41
"455",2015,"의사(필기)",79,"50405","의학총론1",36
"456",2015,"의사(필기)",79,"50405","의학총론2(R형)",7
"457",2015,"의사(필기)",79,"50406","보건의약관계 법규",16
"458",2015,"의사(필기)",79,"50406","의학각론1(R형)",26
"459",2015,"의사(필기)",79,"50406","의학각론2",29
"460",2015,"의사(필기)",79,"50406","의학각론3",49
"461",2015,"의사(필기)",79,"50406","의학각론4",49
"462",2015,"의사(필기)",79,"50406","의학각론5",43
"463",2015,"의사(필기)",79,"50406","의학총론1",42
"464",2015,"의사(필기)",79,"50406","의학총론2(R형)",8
"465",2015,"의사(필기)",79,"50407","보건의약관계 법규",18
"466",2015,"의사(필기)",79,"50407","의학각론1(R형)",37
"467",2015,"의사(필기)",79,"50407","의학각론2",40
"468",2015,"의사(필기)",79,"50407","의학각론3",70
"469",2015,"의사(필기)",79,"50407","의학각론4",63
"470",2015,"의사(필기)",79,"50407","의학각론5",64
"471",2015,"의사(필기)",79,"50407","의학총론1",60
"472",2015,"의사(필기)",79,"50407","의학총론2(R형)",11
